1A5
421
8
Time,Channel A,Channel B
(ms),(V),(V)
0.06467997,3.60774500,1.52743600
0.06468197,3.60774500,1.52743600
0.06468397,3.60774500,1.52743600
0.06468597,3.60774500,1.52743600
0.06468797,3.60774500,1.52774400
0.06468997,3.60759100,1.52774400
0.06469197,3.60728300,1.52774400
0.06469397,3.60728300,1.52743600
0.06469597,3.60728300,1.52743600
0.06469797,3.60728300,1.52743600
0.06469997,3.60759100,1.52743600
0.06470197,3.60759100,1.52743600
0.06470397,3.60728300,1.52728200
0.06470597,3.60728300,1.52728200
0.06470797,3.60728300,1.52743600
0.06470997,3.60728300,1.52743600
0.06471197,3.60713000,1.52743600
0.06471397,3.60713000,1.52743600
0.06471597,3.60728300,1.52743600
0.06471797,3.60759100,1.52774400
